age_bucket,cost,week
<5,1278.992333,7
<5,1769.584047,12
<5,2901.629444,10
<5,2997.56268,3
<5,4727.680468,6
<5,5004.087826,11
<5,5229.669791,9
<5,5377.096265,8
<5,5379.406935,5
<5,6257.53,13
<5,10638.81987,2
<5,11114.70146,4
<5,11660.74763,1
<5,18497.6003,0
5-17,243.625,13
5-17,1065.792,12
5-17,1696.628125,5
5-17,2610.76,11
5-17,3066.497857,2
5-17,3159.741666,7
5-17,3776.201538,3
5-17,4201.083125,8
5-17,4248.80909,10
5-17,4817.142666,6
5-17,9913.029166,4
5-17,13275.90423,1
5-17,23253.54361,0
5-17,23976.65375,9
18-29,956.1775,13
18-29,1674.342586,5
18-29,2407.412432,8
18-29,2524.271875,10
18-29,3262.78836,2
18-29,3653.360677,3
18-29,4513.03875,9
18-29,5209.401521,11
18-29,5376.732972,12
18-29,6022.102058,7
18-29,6906.080217,6
18-29,7482.15,4
18-29,11250.88649,1
18-29,13780.07612,0
30-45,2624.847807,11
30-45,2759.434347,8
30-45,3022.304,13
30-45,3740.240692,6
30-45,3827.058976,7
30-45,4396.029645,5
30-45,4461.646,12
30-45,5411.31176,10
30-45,6055.980251,4
30-45,7495.824097,2
30-45,7833.371127,9
30-45,7988.316283,1
30-45,9359.520331,0
30-45,11740.00698,3
46-64,3897.698995,12
46-64,3950.771689,11
46-64,4761.037077,8
46-64,5128.571127,9
46-64,5217.574598,7
46-64,5617.304588,6
46-64,5740.691292,13
46-64,6247.083179,0
46-64,6252.175083,10
46-64,6256.472196,4
46-64,6510.717395,3
46-64,6683.087344,5
46-64,7472.954813,2
46-64,8669.856583,1
65+,3365.305611,13
65+,4447.853061,12
65+,4591.185339,5
65+,4822.240946,8
65+,4836.687759,10
65+,5085.798249,11
65+,5133.915378,9
65+,5773.990446,6
65+,5997.738132,7
65+,6203.235909,4
65+,6981.998638,0
65+,7866.654867,1
65+,8387.659559,2
65+,8594.732948,3
F,7196.571743,0
F,8376.00484,1
F,10401.12068,2
F,8414.574896,3
F,7247.41105,4
F,5447.65832,5
F,5586.51434,6
F,5430.071052,7
F,4132.908983,8
F,5772.862497,9
F,5245.589271,10
F,4363.695717,11
F,3835.809249,12
F,4544.05671,13
M,8477.466068,0
M,8189.698355,1
M,8829.577171,2
M,9930.683799,3
M,7429.091836,4
M,6004.410111,5
M,5740.155312,6
M,6283.432508,7
M,5186.014835,8
M,5679.39546,9
M,5675.853198,10
M,4181.238931,11
M,4785.628704,12
M,3882.089948,13
