name,value
kept_perc,0.215198
last_kept,0.118493
income,0.066574
lang_Eng,0.056879
age_65_and_over,0.047475
age_under_5,0.032662
month,0.028282
age,0.027164
inc_100000,0.025166
male,0.02506
inc_120000,0.024854
inc_90000,0.022595
eth_refused,0.019693
inc_110000,0.01839
hour_2,0.01767
hour_3,0.017135
hour_5,0.017013
hour_1,0.016535
hour_4,0.016252
hour_6,0.01514
hour_12,0.014974
month_10,0.013382
inc_130000,0.011904
inc_150000,0.011723
eth_not_hispanic,0.009616
month_11,0.00943
inc_160000,0.008543
inc_140000,0.008537
inc_170000,0.008257
month_3,0.008057
lang_Other,0.007877
inc_70000,0.007361
age_5_17,0.006178
hour_11,0.005599
month_4,0.005529
month_6,0.005179
hour_7,0.004744
month_12,0.004457
hour_14,0.004185
month_5,0.003992
month_8,0.003941
wkday_6,0.002916
month_7,0.002732
wkday_2,0.002712
hour_9,0.002625
inc_80000,0.002606
wkday_3,0.002403
inc_210000,0.001702
inc_220000,0.000761
hour_13,0.000641
hour_10,0.000302
month_9,0.000164
inc_10000,-0.000195
inc_180000,-0.000389
inc_190000,-0.000478
inc_200000,-0.000643
weekday,-0.001329
wkday_5,-0.002294
inc_20000,-0.002312
wkday_7,-0.002903
hour_0,-0.002941
wkday_4,-0.003403
hour_8,-0.00365
inc_0,-0.00492
wkday_1,-0.004976
hour_19,-0.006327
hour_15,-0.006455
lang_Spa,-0.008641
hour_23,-0.00935
inc_60000,-0.011418
hour_16,-0.011465
hour_18,-0.011966
hour_21,-0.013736
hour_22,-0.013862
depression,-0.015311
hour_17,-0.016114
age_30_44,-0.017449
eth_hispanic,-0.019191
hour_20,-0.019703
inc_40000,-0.019892
month_1,-0.02179
age_45_64,-0.023245
female,-0.025058
appt_begintime,-0.026138
age_18_29,-0.029242
inc_50000,-0.032254
inc_30000,-0.033521
month_2,-0.037317
lang_Chi,-0.068311
last_rescheduled,-0.072906
last_cancelled,-0.081372
resch_perc,-0.143304
can_perc,-0.150689
